station,opening_date
Jurong East,1990-03-10
Bukit Batok,1990-03-10
Bukit Gombak,1990-03-10
Brickland,2034-01-01
Choa Chu Kang,1990-03-10
Yew Tee,1996-02-10
Kranji,1996-02-10
Marsiling,1996-02-10
Woodlands,1996-02-10
Admiralty,1996-02-10
Sembawang,1996-02-10
Canberra,2019-11-02
Yishun,1988-12-20
Khatib,1988-12-20
Yio Chu Kang,1987-11-07
Ang Mo Kio,1987-11-07
Bishan,1987-11-07
Braddell,1987-11-07
Toa Payoh,1987-11-07
Novena,1987-12-12
Newton,1987-12-12
Orchard,1987-12-12
Somerset,1987-12-12
Dhoby Ghaut,1987-12-12
City Hall,1987-12-12
Raffles Place,1987-12-12
Marina Bay,1989-11-04
Marina South Pier,2014-11-23
Pasir Ris,1989-12-16
Tampines,1989-12-16
Simei,1989-12-16
Tanah Merah,1989-11-04
Bedok,1989-11-04
Kembangan,1989-11-04
Eunos,1989-11-04
Paya Lebar,1989-11-04
Aljunied,1989-11-04
Kallang,1989-11-04
Lavender,1989-11-04
Bugis,1989-11-04
Tanjong Pagar,1987-12-12
Outram Park,1987-12-12
Tiong Bahru,1988-03-12
Redhill,1988-03-12
Queenstown,1988-03-12
Commonwealth,1988-03-12
Buona Vista,1988-03-12
Dover,2001-10-18
Clementi,1988-03-12
Chinese Garden,1988-11-05
Lakeside,1988-11-05
Boon Lay,1990-07-06
Pioneer,2009-02-28
Joo Koon,2009-02-28
Gul Circle,2017-06-18
Tuas Crescent,2017-06-18
Tuas West Road,2017-06-18
Tuas Link,2017-06-18
Expo,2001-01-10
Changi Airport,2002-02-08
HarbourFront,2003-06-20
Chinatown,2003-06-20
Clarke Quay,2003-06-20
Little India,2003-06-20
Farrer Park,2003-06-20
Boon Keng,2003-06-20
Potong Pasir,2003-06-20
Woodleigh,2011-06-20
Serangoon,2003-06-20
Kovan,2003-06-20
Hougang,2003-06-20
Buangkok,2006-01-15
Sengkang,2003-06-20
Punggol,2003-06-20
Punggol Coast,2024-01-01
Bras Basah,2010-04-17
Esplanade,2010-04-17
Promenade,2010-04-17
Nicoll Highway,2010-04-17
Stadium,2010-04-17
Mountbatten,2010-04-17
Dakota,2010-04-17
MacPherson,2010-04-17
Tai Seng,2010-04-17
Bartley,2009-05-28
Lorong Chuan,2009-05-28
Marymount,2009-05-28
Caldecott,2011-10-08
Botanic Gardens,2011-10-08
Farrer Road,2011-10-08
Holland Village,2011-10-08
one-north,2011-10-08
Kent Ridge,2011-10-08
Haw Par Villa,2011-10-08
Pasir Panjang,2011-10-08
Labrador Park,2011-10-08
Telok Blangah,2011-10-08
Keppel,2026-01-01
Cantonment,2026-01-01
Prince Edward Road,2026-01-01
Bayfront,2012-01-14
Bukit Panjang,2015-12-27
Cashew,2015-12-27
Hillview,2015-12-27
Hume,2025-01-01
Beauty World,2015-12-27
King Albert Park,2015-12-27
Sixth Avenue,2015-12-27
Tan Kah Kee,2015-12-27
Stevens,2015-12-27
Rochor,2015-12-27
Downtown,2013-12-22
Telok Ayer,2013-12-22
Fort Canning,2017-10-21
Bencoolen,2017-10-21
Jalan Besar,2017-10-21
Bendemeer,2017-10-21
Geylang Bahru,2017-10-21
Mattar,2017-10-21
Ubi,2017-10-21
Kaki Bukit,2017-10-21
Bedok North,2017-10-21
Bedok Reservoir,2017-10-21
Tampines West,2017-10-21
Tampines East,2017-10-21
Upper Changi,2017-10-21
Xilin,2026-01-01
Sungei Bedok,2026-01-01
Springleaf,2021-08-28
Lentor,2021-08-28
Mayflower,2021-08-28
Bright Hill,2021-08-28
Upper Thomson,2021-08-28
Gardens by the Bay,2022-11-13
Founders' Memorial,2028-01-01
Tanjong Rhu,2024-06-23
Katong Park,2024-06-23
Tanjong Katong,2024-06-23
Marine Parade,2024-06-23
Marine Terrace,2024-06-23
Siglap,2024-06-23
Bayshore,2024-06-23
Bedok South,2026-01-01
Choa Chu Kang West,2027-01-01
Tengah,2027-01-01
Hong Kah,2027-01-01
Corporation,2027-01-01
Jurong West,2027-01-01
Bahar Junction,2027-01-01
Gek Poh,2027-01-01
Tawas,2027-01-01
Tengah Plantation,2028-01-01
Tengah Park,2028-01-01
Bukit Batok West,2028-01-01
Toh Guan,2028-01-01
Jurong Town Hall,2028-01-01
Pandan Reservoir,2028-01-01
Enterprise,2029-01-01
Tukang,2029-01-01
Jurong Hill,2029-01-01
Jurong Pier,2029-01-01
Nanyang Gateway,2029-01-01
Nanyang Crescent,2029-01-01
Peng Kang Hill,2029-01-01
Aviation Park,2030-01-01
Loyang,2030-01-01
Pasir Ris East,2030-01-01
Tampines North,2030-01-01
Defu,2030-01-01
Serangoon North,2030-01-01
Tavistock,2030-01-01
Teck Ghee,2030-01-01
Turf City,2032-01-01
Maju,2032-01-01
West Coast,2032-01-01
Jurong Lake District,2032-01-01
Elias,2032-01-01
Riviera,2032-01-01
South View,1999-11-06
Keat Hong,1999-11-06
Teck Whye,1999-11-06
Phoenix,1999-11-06
Petir,1999-11-06
Pending,1999-11-06
Bangkit,1999-11-06
Fajar,1999-11-06
Segar,1999-11-06
Jelapang,1999-11-06
Senja,1999-11-06
Ten Mile Junction,1999-11-06
Compassvale,2003-01-18
Rumbia,2003-01-18
Bakau,2003-01-18
Kangkar,2003-01-18
Ranggung,2003-01-18
Cheng Lim,2013-01-01
Farmway,2007-11-15
Kupang,2015-06-27
Thanggam,2005-01-29
Fernvale,2005-01-29
Layar,2005-01-29
Tongkang,2005-01-29
Renjong,2005-01-29
Cove,2005-01-29
Meridian,2005-01-29
Coral Edge,2005-01-29
Kadaloor,2005-01-29
Oasis,2007-06-15
Damai,2011-06-20
Sam Kee,2016-02-29
Punggol Point,2016-12-29
Samudera,2017-03-31
Nibong,2014-06-29
Sumang,2014-06-29
Soo Teck,2014-06-29
